date        pnl       trades  win_rate
2026-01-07  1.78      22  59.090909
2026-01-08  2.29      21  61.904762
2026-01-09  2.37      13  69.230769
2026-01-10  0.96      4  75.000000
2026-01-11  0.33      17  52.941176
2026-01-12  5.60      40  65.000000
2026-01-13  2.05      45  55.555556
2026-01-14  2.25      25  60.000000
2026-01-15  3.33      17  70.588235
2026-01-16  2.43      7  85.714286
2026-01-17  -0.20      20  50.000000
2026-01-18  0.82      18  55.555556
2026-01-19  2.60      40  57.500000
2026-01-20  -3.97      47  42.553191
2026-01-21  2.72      28  60.714286
2026-01-22  0.39      11  54.545455
2026-01-23  2.76      24  62.500000
2026-01-24  0.41      9  55.555556
2026-01-25  1.56      44  54.545455
2026-01-26  2.41      9  77.777778
2026-01-27  4.23      27  66.666667
2026-01-28  0.86      14  57.142857
2026-01-29  0.58      42  52.380952
2026-01-30  2.35      15  66.666667
2026-01-31  -1.50      50  48.000000
2026-02-01  4.88      12  91.666667
2026-02-02  -0.24      24  50.000000
2026-02-03  -1.65      15  40.000000
2026-02-04  -0.71      21  47.619048
2026-02-05  -6.01      51  39.215686
2026-02-06  0.96      4  75.000000
=====================================
